Namespace(augmix_cutmix_prob=0.5, augmix_prob=0.0, batch_size=32, beta=1.0, data_path='./data/modelnet40_normal_resampled', dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=500, eval=False, exp_name='augmix_cutmix_dgcnn_1024', jitter=False, k=20, knn=False, lr=0.001, model='dgcnn', model_path='', modelnet10=False, momentum=0.9, no_cuda=False, normal=False, nsample=512, num_points=1024, rddrop=False, rdscale=False, rot=False, rsmix_prob=0.0, seed=1, shift=False, shuffle=False, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 1 devices
Namespace(augmix_cutmix_prob=0.5, augmix_prob=0.0, batch_size=32, beta=1.0, data_path='./data/modelnet40_normal_resampled', dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=500, eval=False, exp_name='augmix_cutmix_dgcnn_1024', jitter=False, k=20, knn=False, lr=0.001, model='dgcnn', model_path='', modelnet10=False, momentum=0.9, no_cuda=False, normal=False, nsample=512, num_points=1024, rddrop=False, rdscale=False, rot=False, rsmix_prob=0.0, seed=1, shift=False, shuffle=False, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 1 devices
Train epoch 0, loss: 2.776633, train acc: 0.434853, train avg acc: 0.263127
Test epoch 0, loss: 2.258872, test acc: 0.585494, test avg acc: 0.442831
Train epoch 1, loss: 2.232826, train acc: 0.624186, train avg acc: 0.445675
Test epoch 1, loss: 2.007851, test acc: 0.722853, test avg acc: 0.582297
Train epoch 2, loss: 2.073186, train acc: 0.691368, train avg acc: 0.534240
Test epoch 2, loss: 1.923477, test acc: 0.760940, test avg acc: 0.649866
Train epoch 3, loss: 1.971589, train acc: 0.737276, train avg acc: 0.600311
Test epoch 3, loss: 1.784756, test acc: 0.803079, test avg acc: 0.676279
Train epoch 4, loss: 1.922932, train acc: 0.758958, train avg acc: 0.628018
Test epoch 4, loss: 1.767348, test acc: 0.815640, test avg acc: 0.728297
Train epoch 5, loss: 1.860400, train acc: 0.787154, train avg acc: 0.671224
Test epoch 5, loss: 1.711697, test acc: 0.836710, test avg acc: 0.734076
Train epoch 6, loss: 1.825907, train acc: 0.802219, train avg acc: 0.692788
Test epoch 6, loss: 1.693109, test acc: 0.863047, test avg acc: 0.780942
Train epoch 7, loss: 1.805023, train acc: 0.807309, train avg acc: 0.702627
Test epoch 7, loss: 1.655569, test acc: 0.856969, test avg acc: 0.803924
Train epoch 8, loss: 1.785681, train acc: 0.819320, train avg acc: 0.724733
Test epoch 8, loss: 1.652247, test acc: 0.859806, test avg acc: 0.763988
Train epoch 9, loss: 1.759104, train acc: 0.828481, train avg acc: 0.732544
Test epoch 9, loss: 1.631955, test acc: 0.869935, test avg acc: 0.799105
Train epoch 10, loss: 1.753194, train acc: 0.833367, train avg acc: 0.741320
Test epoch 10, loss: 1.668724, test acc: 0.854943, test avg acc: 0.780291
Train epoch 11, loss: 1.738371, train acc: 0.837337, train avg acc: 0.748473
Test epoch 11, loss: 1.651287, test acc: 0.866694, test avg acc: 0.806988
Train epoch 12, loss: 1.720440, train acc: 0.846295, train avg acc: 0.758121
Test epoch 12, loss: 1.657407, test acc: 0.854133, test avg acc: 0.786756
Train epoch 13, loss: 1.702524, train acc: 0.848127, train avg acc: 0.760988
Test epoch 13, loss: 1.588427, test acc: 0.895462, test avg acc: 0.825297
Train epoch 14, loss: 1.696825, train acc: 0.854336, train avg acc: 0.773898
Test epoch 14, loss: 1.621566, test acc: 0.865073, test avg acc: 0.787360
Train epoch 15, loss: 1.689613, train acc: 0.854235, train avg acc: 0.777152
Test epoch 15, loss: 1.609021, test acc: 0.871556, test avg acc: 0.805459
