Namespace(augmix_cutmix_prob=0.5, augmix_prob=0.0, batch_size=32, beta=1.0, data_path='./data/modelnet40_normal_resampled', dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=500, eval=False, exp_name='augmix_cutmix_lams3_dgcnn_1024_2', jitter=False, k=20, knn=False, lr=0.001, model='dgcnn', model_path='', modelnet10=False, momentum=0.9, no_cuda=False, normal=False, nsample=512, num_points=1024, rddrop=False, rdscale=False, rot=False, rsmix_prob=0.0, seed=1, shift=False, shuffle=False, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 1 devices
Train epoch 0, loss: 2.741751, train acc: 0.451853, train avg acc: 0.280213
Test epoch 0, loss: 2.180740, test acc: 0.644652, test avg acc: 0.495070
Train epoch 1, loss: 2.201005, train acc: 0.636502, train avg acc: 0.460974
Test epoch 1, loss: 2.039979, test acc: 0.685575, test avg acc: 0.566785
Train epoch 2, loss: 2.040833, train acc: 0.703685, train avg acc: 0.548030
Test epoch 2, loss: 1.859637, test acc: 0.787682, test avg acc: 0.669488
Train epoch 3, loss: 1.962066, train acc: 0.742467, train avg acc: 0.600436
Test epoch 3, loss: 1.776205, test acc: 0.808347, test avg acc: 0.687855
Train epoch 4, loss: 1.885905, train acc: 0.776466, train avg acc: 0.651404
Test epoch 4, loss: 1.752072, test acc: 0.836305, test avg acc: 0.752483
Train epoch 5, loss: 1.864289, train acc: 0.784711, train avg acc: 0.665423
Test epoch 5, loss: 1.685831, test acc: 0.853728, test avg acc: 0.760605
Train epoch 6, loss: 1.822185, train acc: 0.800183, train avg acc: 0.687235
Test epoch 6, loss: 1.706329, test acc: 0.842788, test avg acc: 0.749302
Train epoch 7, loss: 1.788161, train acc: 0.814230, train avg acc: 0.711552
Test epoch 7, loss: 1.672335, test acc: 0.847245, test avg acc: 0.811605
Train epoch 8, loss: 1.777502, train acc: 0.819116, train avg acc: 0.722579
Test epoch 8, loss: 1.659521, test acc: 0.860616, test avg acc: 0.768151
Train epoch 9, loss: 1.748540, train acc: 0.827158, train avg acc: 0.730380
Test epoch 9, loss: 1.691777, test acc: 0.836305, test avg acc: 0.762767
Train epoch 10, loss: 1.739822, train acc: 0.836421, train avg acc: 0.746753
Test epoch 10, loss: 1.686361, test acc: 0.841572, test avg acc: 0.781895
Train epoch 11, loss: 1.725976, train acc: 0.840493, train avg acc: 0.753924
Test epoch 11, loss: 1.636349, test acc: 0.862642, test avg acc: 0.796680
Train epoch 12, loss: 1.718271, train acc: 0.845888, train avg acc: 0.762013
Test epoch 12, loss: 1.649096, test acc: 0.861021, test avg acc: 0.804663
Train epoch 13, loss: 1.694701, train acc: 0.854845, train avg acc: 0.772116
Test epoch 13, loss: 1.577396, test acc: 0.892626, test avg acc: 0.843855
Train epoch 14, loss: 1.697891, train acc: 0.856678, train avg acc: 0.776703
Test epoch 14, loss: 1.633231, test acc: 0.861426, test avg acc: 0.797895
Train epoch 15, loss: 1.696078, train acc: 0.853013, train avg acc: 0.773581
Test epoch 15, loss: 1.593791, test acc: 0.873987, test avg acc: 0.809855
Train epoch 16, loss: 1.673791, train acc: 0.865432, train avg acc: 0.789960
Test epoch 16, loss: 1.574765, test acc: 0.899514, test avg acc: 0.834052
Train epoch 17, loss: 1.668510, train acc: 0.866857, train avg acc: 0.792218
Test epoch 17, loss: 1.625614, test acc: 0.865883, test avg acc: 0.802012
Train epoch 18, loss: 1.668520, train acc: 0.866246, train avg acc: 0.793737
Test epoch 18, loss: 1.673357, test acc: 0.852512, test avg acc: 0.781267
Train epoch 19, loss: 1.648212, train acc: 0.875713, train avg acc: 0.807768
Test epoch 19, loss: 1.602611, test acc: 0.870340, test avg acc: 0.836930
Train epoch 20, loss: 1.649031, train acc: 0.869707, train avg acc: 0.801826
Test epoch 20, loss: 1.627411, test acc: 0.863857, test avg acc: 0.808756
Train epoch 21, loss: 1.652391, train acc: 0.872353, train avg acc: 0.800740
Test epoch 21, loss: 1.560848, test acc: 0.895057, test avg acc: 0.844390
Train epoch 22, loss: 1.645500, train acc: 0.879784, train avg acc: 0.813681
Test epoch 22, loss: 1.587230, test acc: 0.879254, test avg acc: 0.819047
Train epoch 23, loss: 1.637548, train acc: 0.876934, train avg acc: 0.806603
Test epoch 23, loss: 1.616342, test acc: 0.878039, test avg acc: 0.830500
Train epoch 24, loss: 1.623989, train acc: 0.886604, train avg acc: 0.825124
Test epoch 24, loss: 1.580645, test acc: 0.882901, test avg acc: 0.810913
Train epoch 25, loss: 1.625152, train acc: 0.881107, train avg acc: 0.818123
Test epoch 25, loss: 1.577237, test acc: 0.877634, test avg acc: 0.822477
Train epoch 26, loss: 1.628017, train acc: 0.883245, train avg acc: 0.820713
Test epoch 26, loss: 1.553702, test acc: 0.894246, test avg acc: 0.833006
Train epoch 27, loss: 1.624765, train acc: 0.884670, train avg acc: 0.824010
Test epoch 27, loss: 1.570393, test acc: 0.888574, test avg acc: 0.822523
Train epoch 28, loss: 1.624023, train acc: 0.882533, train avg acc: 0.818544
Test epoch 28, loss: 1.566365, test acc: 0.899109, test avg acc: 0.836134
Train epoch 29, loss: 1.628132, train acc: 0.882533, train avg acc: 0.820625
Test epoch 29, loss: 1.571797, test acc: 0.885737, test avg acc: 0.841820
Train epoch 30, loss: 1.602157, train acc: 0.892203, train avg acc: 0.833488
Test epoch 30, loss: 1.559448, test acc: 0.882091, test avg acc: 0.827895
Train epoch 31, loss: 1.607695, train acc: 0.890879, train avg acc: 0.831152
Test epoch 31, loss: 1.566711, test acc: 0.896677, test avg acc: 0.848622
Train epoch 32, loss: 1.605048, train acc: 0.890778, train avg acc: 0.831052
Test epoch 32, loss: 1.556776, test acc: 0.890600, test avg acc: 0.838640
Train epoch 33, loss: 1.604571, train acc: 0.892915, train avg acc: 0.835609
Test epoch 33, loss: 1.548199, test acc: 0.894246, test avg acc: 0.838128
Train epoch 34, loss: 1.595434, train acc: 0.893933, train avg acc: 0.833412
Test epoch 34, loss: 1.543110, test acc: 0.895057, test avg acc: 0.857337
Train epoch 35, loss: 1.600817, train acc: 0.890269, train avg acc: 0.832318
Test epoch 35, loss: 1.572733, test acc: 0.896272, test avg acc: 0.852756
Train epoch 36, loss: 1.606022, train acc: 0.889760, train avg acc: 0.828904
Test epoch 36, loss: 1.559488, test acc: 0.877634, test avg acc: 0.833948
Train epoch 37, loss: 1.596136, train acc: 0.894951, train avg acc: 0.835950
Test epoch 37, loss: 1.554269, test acc: 0.896272, test avg acc: 0.834797
Train epoch 38, loss: 1.594031, train acc: 0.891796, train avg acc: 0.833726
Test epoch 38, loss: 1.568734, test acc: 0.884927, test avg acc: 0.846320
Train epoch 39, loss: 1.593933, train acc: 0.894544, train avg acc: 0.836539
Test epoch 39, loss: 1.615138, test acc: 0.870340, test avg acc: 0.823942
Train epoch 40, loss: 1.583367, train acc: 0.900957, train avg acc: 0.847350
Test epoch 40, loss: 1.579029, test acc: 0.882901, test avg acc: 0.831430
Train epoch 41, loss: 1.583484, train acc: 0.899634, train avg acc: 0.843372
Test epoch 41, loss: 1.560213, test acc: 0.878444, test avg acc: 0.860622
Train epoch 42, loss: 1.589408, train acc: 0.900041, train avg acc: 0.848368
Test epoch 42, loss: 1.513080, test acc: 0.911264, test avg acc: 0.862081
Train epoch 43, loss: 1.587691, train acc: 0.897292, train avg acc: 0.841747
Test epoch 43, loss: 1.572810, test acc: 0.885332, test avg acc: 0.849709
Train epoch 44, loss: 1.582465, train acc: 0.897191, train avg acc: 0.841175
Test epoch 44, loss: 1.561136, test acc: 0.884927, test avg acc: 0.847343
Train epoch 45, loss: 1.584129, train acc: 0.897496, train avg acc: 0.841772
Test epoch 45, loss: 1.537193, test acc: 0.899919, test avg acc: 0.845349
Train epoch 46, loss: 1.571931, train acc: 0.902891, train avg acc: 0.851481
Test epoch 46, loss: 1.551276, test acc: 0.895462, test avg acc: 0.848552
Train epoch 47, loss: 1.574240, train acc: 0.900753, train avg acc: 0.847076
Test epoch 47, loss: 1.537533, test acc: 0.897083, test avg acc: 0.842012
Train epoch 48, loss: 1.577508, train acc: 0.902789, train avg acc: 0.850908
Test epoch 48, loss: 1.547916, test acc: 0.896677, test avg acc: 0.836163
Train epoch 49, loss: 1.566677, train acc: 0.901160, train avg acc: 0.844641
Test epoch 49, loss: 1.527950, test acc: 0.898298, test avg acc: 0.863959
Train epoch 50, loss: 1.553877, train acc: 0.910016, train avg acc: 0.859859
Test epoch 50, loss: 1.526528, test acc: 0.902350, test avg acc: 0.855791
Train epoch 51, loss: 1.563716, train acc: 0.906861, train avg acc: 0.852176
Test epoch 51, loss: 1.532246, test acc: 0.891410, test avg acc: 0.838616
Train epoch 52, loss: 1.567155, train acc: 0.907268, train avg acc: 0.855101
Test epoch 52, loss: 1.591117, test acc: 0.878444, test avg acc: 0.830855
Train epoch 53, loss: 1.569487, train acc: 0.904927, train avg acc: 0.853838
Test epoch 53, loss: 1.526449, test acc: 0.897083, test avg acc: 0.855977
Train epoch 54, loss: 1.571467, train acc: 0.903400, train avg acc: 0.851441
Test epoch 54, loss: 1.561007, test acc: 0.894652, test avg acc: 0.850488
Train epoch 55, loss: 1.570250, train acc: 0.904418, train avg acc: 0.853291
Test epoch 55, loss: 1.540429, test acc: 0.902350, test avg acc: 0.862994
Train epoch 56, loss: 1.555409, train acc: 0.911441, train avg acc: 0.864933
Test epoch 56, loss: 1.579621, test acc: 0.872366, test avg acc: 0.820994
Train epoch 57, loss: 1.560423, train acc: 0.910118, train avg acc: 0.861885
Test epoch 57, loss: 1.549571, test acc: 0.897083, test avg acc: 0.855430
Train epoch 58, loss: 1.561091, train acc: 0.908897, train avg acc: 0.857977
Test epoch 58, loss: 1.562219, test acc: 0.883712, test avg acc: 0.852878
Train epoch 59, loss: 1.550112, train acc: 0.914902, train avg acc: 0.866085
Test epoch 59, loss: 1.542250, test acc: 0.898298, test avg acc: 0.851384
Train epoch 60, loss: 1.562832, train acc: 0.912052, train avg acc: 0.863350
Test epoch 60, loss: 1.556418, test acc: 0.891815, test avg acc: 0.845878
Train epoch 61, loss: 1.555065, train acc: 0.908591, train avg acc: 0.859474
Test epoch 61, loss: 1.528927, test acc: 0.896272, test avg acc: 0.838453
Train epoch 62, loss: 1.554831, train acc: 0.909914, train avg acc: 0.861430
Test epoch 62, loss: 1.552016, test acc: 0.888979, test avg acc: 0.811419
Train epoch 63, loss: 1.559875, train acc: 0.907471, train avg acc: 0.857816
Test epoch 63, loss: 1.532410, test acc: 0.899919, test avg acc: 0.858134
Train epoch 64, loss: 1.556852, train acc: 0.912561, train avg acc: 0.866693
Test epoch 64, loss: 1.556488, test acc: 0.900729, test avg acc: 0.873465
Train epoch 65, loss: 1.551231, train acc: 0.910831, train avg acc: 0.862543
Test epoch 65, loss: 1.521482, test acc: 0.904376, test avg acc: 0.853174
Train epoch 66, loss: 1.548469, train acc: 0.912866, train avg acc: 0.862269
Test epoch 66, loss: 1.527088, test acc: 0.897083, test avg acc: 0.845686
Train epoch 67, loss: 1.548904, train acc: 0.913986, train avg acc: 0.868094
Test epoch 67, loss: 1.530268, test acc: 0.898298, test avg acc: 0.845727
Train epoch 68, loss: 1.537729, train acc: 0.918261, train avg acc: 0.870321
Test epoch 68, loss: 1.532847, test acc: 0.899109, test avg acc: 0.842791
Train epoch 69, loss: 1.549009, train acc: 0.911849, train avg acc: 0.864410
Test epoch 69, loss: 1.551973, test acc: 0.894246, test avg acc: 0.854791
Train epoch 70, loss: 1.550807, train acc: 0.913172, train avg acc: 0.867003
Test epoch 70, loss: 1.555446, test acc: 0.880470, test avg acc: 0.842692
Train epoch 71, loss: 1.542422, train acc: 0.913375, train avg acc: 0.867734
Test epoch 71, loss: 1.522351, test acc: 0.897488, test avg acc: 0.857012
Train epoch 72, loss: 1.552116, train acc: 0.915106, train avg acc: 0.869408
Test epoch 72, loss: 1.542520, test acc: 0.888574, test avg acc: 0.869686
Train epoch 73, loss: 1.536911, train acc: 0.917854, train avg acc: 0.873200
Test epoch 73, loss: 1.530305, test acc: 0.895867, test avg acc: 0.857145
Train epoch 74, loss: 1.536385, train acc: 0.917142, train avg acc: 0.868896
Test epoch 74, loss: 1.539387, test acc: 0.894246, test avg acc: 0.855116
Train epoch 75, loss: 1.541971, train acc: 0.915920, train avg acc: 0.872030
Test epoch 75, loss: 1.588350, test acc: 0.880875, test avg acc: 0.851645
Train epoch 76, loss: 1.543910, train acc: 0.914597, train avg acc: 0.869557
Test epoch 76, loss: 1.545357, test acc: 0.895867, test avg acc: 0.858140
Train epoch 77, loss: 1.537341, train acc: 0.915920, train avg acc: 0.869236
Test epoch 77, loss: 1.516278, test acc: 0.907618, test avg acc: 0.865163
Train epoch 78, loss: 1.539604, train acc: 0.917651, train avg acc: 0.873906
Test epoch 78, loss: 1.516773, test acc: 0.903566, test avg acc: 0.845878
Train epoch 79, loss: 1.530786, train acc: 0.921112, train avg acc: 0.880746
Test epoch 79, loss: 1.553647, test acc: 0.883712, test avg acc: 0.825965
Train epoch 80, loss: 1.542058, train acc: 0.917447, train avg acc: 0.873393
Test epoch 80, loss: 1.535281, test acc: 0.906807, test avg acc: 0.863337
Train epoch 81, loss: 1.536483, train acc: 0.917854, train avg acc: 0.874812
Test epoch 81, loss: 1.596062, test acc: 0.876418, test avg acc: 0.832890
Train epoch 82, loss: 1.544106, train acc: 0.914088, train avg acc: 0.871044
Test epoch 82, loss: 1.526311, test acc: 0.905592, test avg acc: 0.868215
Train epoch 83, loss: 1.533442, train acc: 0.918261, train avg acc: 0.873254
Test epoch 83, loss: 1.588754, test acc: 0.887358, test avg acc: 0.831198
Train epoch 84, loss: 1.535490, train acc: 0.915818, train avg acc: 0.869262
Test epoch 84, loss: 1.538355, test acc: 0.889789, test avg acc: 0.853488
Train epoch 85, loss: 1.535637, train acc: 0.920806, train avg acc: 0.879629
Test epoch 85, loss: 1.611908, test acc: 0.860211, test avg acc: 0.816651
Train epoch 86, loss: 1.542948, train acc: 0.915106, train avg acc: 0.870138
Test epoch 86, loss: 1.526784, test acc: 0.898703, test avg acc: 0.844424
Train epoch 87, loss: 1.528164, train acc: 0.922435, train avg acc: 0.879361
Test epoch 87, loss: 1.533112, test acc: 0.891410, test avg acc: 0.828331
Train epoch 88, loss: 1.533707, train acc: 0.919279, train avg acc: 0.873271
Test epoch 88, loss: 1.517017, test acc: 0.904376, test avg acc: 0.846756
Train epoch 89, loss: 1.531016, train acc: 0.919076, train avg acc: 0.873317
Test epoch 89, loss: 1.530521, test acc: 0.891410, test avg acc: 0.854384
Train epoch 90, loss: 1.525648, train acc: 0.924471, train avg acc: 0.886186
Test epoch 90, loss: 1.530673, test acc: 0.897893, test avg acc: 0.849715
Train epoch 91, loss: 1.524393, train acc: 0.922333, train avg acc: 0.880372
Test epoch 91, loss: 1.496388, test acc: 0.907618, test avg acc: 0.855878
Train epoch 92, loss: 1.528629, train acc: 0.921417, train avg acc: 0.879172
Test epoch 92, loss: 1.534775, test acc: 0.892626, test avg acc: 0.852384
Train epoch 93, loss: 1.531624, train acc: 0.918669, train avg acc: 0.878970
Test epoch 93, loss: 1.513741, test acc: 0.903566, test avg acc: 0.866680
Train epoch 94, loss: 1.532801, train acc: 0.920704, train avg acc: 0.878218
Test epoch 94, loss: 1.549603, test acc: 0.892626, test avg acc: 0.843459
Train epoch 95, loss: 1.526426, train acc: 0.919076, train avg acc: 0.876346
Test epoch 95, loss: 1.526021, test acc: 0.902350, test avg acc: 0.853773
Train epoch 96, loss: 1.530386, train acc: 0.922638, train avg acc: 0.885019
Test epoch 96, loss: 1.529215, test acc: 0.904781, test avg acc: 0.867407
Train epoch 97, loss: 1.520201, train acc: 0.924267, train avg acc: 0.882267
Test epoch 97, loss: 1.556458, test acc: 0.882091, test avg acc: 0.850041
Train epoch 98, loss: 1.515545, train acc: 0.928237, train avg acc: 0.887284
Test epoch 98, loss: 1.535574, test acc: 0.888574, test avg acc: 0.838052
Train epoch 99, loss: 1.513960, train acc: 0.926507, train avg acc: 0.889332
Test epoch 99, loss: 1.534447, test acc: 0.915316, test avg acc: 0.865378
Train epoch 100, loss: 1.520283, train acc: 0.923555, train avg acc: 0.883147
Test epoch 100, loss: 1.497547, test acc: 0.909643, test avg acc: 0.875756
Train epoch 101, loss: 1.517198, train acc: 0.923962, train avg acc: 0.880161
Test epoch 101, loss: 1.518363, test acc: 0.912885, test avg acc: 0.873959
Train epoch 102, loss: 1.516400, train acc: 0.925896, train avg acc: 0.886254
