Namespace(augmix_cutmix_prob=0.5, augmix_prob=0.0, batch_size=32, beta=1.0, data_path='./data/modelnet40_normal_resampled', dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=500, eval=False, exp_name='augmix_cutmix_lams2_eps3e-1_dgcnn_1024_2', jitter=False, k=20, knn=False, lr=0.001, model='dgcnn', model_path='', modelnet10=False, momentum=0.9, no_cuda=False, normal=False, nsample=512, num_points=1024, rddrop=False, rdscale=False, rot=False, rsmix_prob=0.0, seed=1, shift=False, shuffle=False, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 1 devices
Train epoch 0, loss: 2.980981, train acc: 0.438314, train avg acc: 0.262288
Test epoch 0, loss: 2.534756, test acc: 0.631686, test avg acc: 0.463459
Train epoch 1, loss: 2.522979, train acc: 0.634772, train avg acc: 0.451417
Test epoch 1, loss: 2.385055, test acc: 0.723663, test avg acc: 0.597186
Train epoch 2, loss: 2.398437, train acc: 0.708164, train avg acc: 0.548541
Test epoch 2, loss: 2.276043, test acc: 0.767018, test avg acc: 0.644570
Train epoch 3, loss: 2.317442, train acc: 0.750305, train avg acc: 0.613672
Test epoch 3, loss: 2.165830, test acc: 0.814830, test avg acc: 0.703837
Train epoch 4, loss: 2.264934, train acc: 0.777382, train avg acc: 0.648484
Test epoch 4, loss: 2.186023, test acc: 0.794165, test avg acc: 0.699047
Train epoch 5, loss: 2.246934, train acc: 0.787154, train avg acc: 0.664473
Test epoch 5, loss: 2.125767, test acc: 0.834684, test avg acc: 0.740558
Train epoch 6, loss: 2.211064, train acc: 0.808836, train avg acc: 0.700870
Test epoch 6, loss: 2.087422, test acc: 0.850891, test avg acc: 0.757843
Train epoch 7, loss: 2.187846, train acc: 0.825529, train avg acc: 0.729170
Test epoch 7, loss: 2.157329, test acc: 0.823744, test avg acc: 0.764453
Train epoch 8, loss: 2.172315, train acc: 0.826649, train avg acc: 0.731414
Test epoch 8, loss: 2.081017, test acc: 0.849676, test avg acc: 0.759517
Train epoch 9, loss: 2.159364, train acc: 0.830721, train avg acc: 0.733953
Test epoch 9, loss: 2.042671, test acc: 0.878039, test avg acc: 0.803041
Train epoch 10, loss: 2.139320, train acc: 0.841612, train avg acc: 0.751140
Test epoch 10, loss: 2.078905, test acc: 0.867504, test avg acc: 0.822331
Train epoch 11, loss: 2.130165, train acc: 0.845582, train avg acc: 0.755044
Test epoch 11, loss: 2.064790, test acc: 0.854538, test avg acc: 0.776802
Train epoch 12, loss: 2.128769, train acc: 0.845277, train avg acc: 0.758858
Test epoch 12, loss: 2.092638, test acc: 0.846434, test avg acc: 0.786459
Train epoch 13, loss: 2.119635, train acc: 0.852809, train avg acc: 0.767587
Test epoch 13, loss: 2.014211, test acc: 0.881280, test avg acc: 0.819884
Train epoch 14, loss: 2.113685, train acc: 0.854438, train avg acc: 0.769555
Test epoch 14, loss: 2.034108, test acc: 0.876418, test avg acc: 0.799587
Train epoch 15, loss: 2.097956, train acc: 0.863192, train avg acc: 0.783160
Test epoch 15, loss: 2.107124, test acc: 0.843598, test avg acc: 0.761215
Train epoch 16, loss: 2.089797, train acc: 0.866042, train avg acc: 0.788409
Test epoch 16, loss: 2.000622, test acc: 0.895462, test avg acc: 0.835384
Train epoch 17, loss: 2.084435, train acc: 0.870318, train avg acc: 0.797414
Test epoch 17, loss: 2.024933, test acc: 0.872771, test avg acc: 0.805070
Train epoch 18, loss: 2.078086, train acc: 0.872557, train avg acc: 0.800270
Test epoch 18, loss: 2.030763, test acc: 0.864263, test avg acc: 0.797890
Train epoch 19, loss: 2.071829, train acc: 0.879988, train avg acc: 0.812105
Test epoch 19, loss: 2.015343, test acc: 0.873582, test avg acc: 0.819930
Train epoch 20, loss: 2.062211, train acc: 0.879581, train avg acc: 0.811641
Test epoch 20, loss: 1.986364, test acc: 0.894652, test avg acc: 0.815285
Train epoch 21, loss: 2.061900, train acc: 0.881107, train avg acc: 0.812062
Test epoch 21, loss: 1.998763, test acc: 0.887358, test avg acc: 0.816599
Train epoch 22, loss: 2.058160, train acc: 0.885179, train avg acc: 0.819370
Test epoch 22, loss: 2.036670, test acc: 0.879660, test avg acc: 0.835547
Train epoch 23, loss: 2.057244, train acc: 0.882838, train avg acc: 0.812020
Test epoch 23, loss: 1.981085, test acc: 0.887763, test avg acc: 0.817017
Train epoch 24, loss: 2.048205, train acc: 0.885383, train avg acc: 0.821972
Test epoch 24, loss: 2.015552, test acc: 0.862642, test avg acc: 0.798872
Train epoch 25, loss: 2.047315, train acc: 0.890574, train avg acc: 0.830904
Test epoch 25, loss: 2.008389, test acc: 0.889789, test avg acc: 0.811221
Train epoch 26, loss: 2.037970, train acc: 0.894544, train avg acc: 0.834164
Test epoch 26, loss: 2.012341, test acc: 0.877634, test avg acc: 0.807983
Train epoch 27, loss: 2.044347, train acc: 0.888233, train avg acc: 0.824045
Test epoch 27, loss: 2.013341, test acc: 0.882496, test avg acc: 0.822686
Train epoch 28, loss: 2.039416, train acc: 0.895562, train avg acc: 0.835103
Test epoch 28, loss: 1.991281, test acc: 0.893841, test avg acc: 0.843988
Train epoch 29, loss: 2.036014, train acc: 0.894849, train avg acc: 0.835035
Test epoch 29, loss: 1.968720, test acc: 0.905997, test avg acc: 0.855465
Train epoch 30, loss: 2.032759, train acc: 0.890676, train avg acc: 0.826615
Test epoch 30, loss: 2.036411, test acc: 0.878444, test avg acc: 0.842099
Train epoch 31, loss: 2.028812, train acc: 0.894849, train avg acc: 0.831766
Test epoch 31, loss: 1.986679, test acc: 0.901945, test avg acc: 0.869087
Train epoch 32, loss: 2.031388, train acc: 0.896173, train avg acc: 0.840164
Test epoch 32, loss: 1.984899, test acc: 0.901945, test avg acc: 0.856797
Train epoch 33, loss: 2.034506, train acc: 0.892101, train avg acc: 0.833497
Test epoch 33, loss: 2.001903, test acc: 0.891815, test avg acc: 0.837308
Train epoch 34, loss: 2.028279, train acc: 0.897903, train avg acc: 0.841199
Test epoch 34, loss: 2.022196, test acc: 0.880065, test avg acc: 0.828267
Train epoch 35, loss: 2.017289, train acc: 0.902586, train avg acc: 0.845371
Test epoch 35, loss: 2.019146, test acc: 0.890600, test avg acc: 0.841773
Train epoch 36, loss: 2.022926, train acc: 0.898717, train avg acc: 0.840935
Test epoch 36, loss: 1.978406, test acc: 0.888979, test avg acc: 0.843430
Train epoch 37, loss: 2.018373, train acc: 0.901059, train avg acc: 0.843958
Test epoch 37, loss: 1.990955, test acc: 0.890600, test avg acc: 0.844924
Train epoch 38, loss: 2.015025, train acc: 0.902993, train avg acc: 0.841792
Test epoch 38, loss: 1.967024, test acc: 0.898298, test avg acc: 0.864895
Train epoch 39, loss: 2.006275, train acc: 0.907370, train avg acc: 0.854894
Test epoch 39, loss: 1.995934, test acc: 0.891005, test avg acc: 0.835221
Train epoch 40, loss: 2.014955, train acc: 0.904520, train avg acc: 0.848478
Test epoch 40, loss: 1.974660, test acc: 0.899109, test avg acc: 0.840041
Train epoch 41, loss: 2.021323, train acc: 0.899634, train avg acc: 0.842376
Test epoch 41, loss: 1.982341, test acc: 0.885737, test avg acc: 0.853547
Train epoch 42, loss: 2.009667, train acc: 0.904927, train avg acc: 0.853858
Test epoch 42, loss: 1.976889, test acc: 0.896677, test avg acc: 0.831924
Train epoch 43, loss: 2.009074, train acc: 0.906555, train avg acc: 0.853735
Test epoch 43, loss: 1.997343, test acc: 0.888979, test avg acc: 0.836390
Train epoch 44, loss: 2.008108, train acc: 0.906148, train avg acc: 0.851817
Test epoch 44, loss: 1.974700, test acc: 0.898298, test avg acc: 0.859052
Train epoch 45, loss: 2.008288, train acc: 0.905436, train avg acc: 0.852005
Test epoch 45, loss: 1.953356, test acc: 0.909643, test avg acc: 0.851297
Train epoch 46, loss: 2.007808, train acc: 0.905945, train avg acc: 0.853910
Test epoch 46, loss: 1.971281, test acc: 0.889789, test avg acc: 0.836442
Train epoch 47, loss: 2.004552, train acc: 0.907064, train avg acc: 0.853691
Test epoch 47, loss: 1.992561, test acc: 0.884117, test avg acc: 0.834814
Train epoch 48, loss: 2.000532, train acc: 0.912765, train avg acc: 0.863694
Test epoch 48, loss: 1.983674, test acc: 0.889789, test avg acc: 0.825733
Train epoch 49, loss: 1.999064, train acc: 0.910729, train avg acc: 0.861868
Test epoch 49, loss: 1.959648, test acc: 0.898298, test avg acc: 0.871302
Train epoch 50, loss: 2.005443, train acc: 0.906352, train avg acc: 0.857099
Test epoch 50, loss: 1.999169, test acc: 0.889384, test avg acc: 0.850576
Train epoch 51, loss: 1.999560, train acc: 0.911340, train avg acc: 0.862204
Test epoch 51, loss: 1.967690, test acc: 0.895057, test avg acc: 0.846151
Train epoch 52, loss: 1.989711, train acc: 0.915004, train avg acc: 0.866469
Test epoch 52, loss: 1.976916, test acc: 0.891815, test avg acc: 0.857703
Train epoch 53, loss: 1.998355, train acc: 0.909406, train avg acc: 0.856655
Test epoch 53, loss: 1.961962, test acc: 0.899514, test avg acc: 0.851517
Train epoch 54, loss: 1.999695, train acc: 0.908184, train avg acc: 0.856469
Test epoch 54, loss: 1.973246, test acc: 0.906402, test avg acc: 0.846047
Train epoch 55, loss: 1.991165, train acc: 0.915615, train avg acc: 0.868214
Test epoch 55, loss: 1.957136, test acc: 0.906402, test avg acc: 0.864762
Train epoch 56, loss: 1.999418, train acc: 0.909914, train avg acc: 0.858307
Test epoch 56, loss: 1.966812, test acc: 0.901945, test avg acc: 0.846924
Train epoch 57, loss: 1.991651, train acc: 0.913375, train avg acc: 0.864881
Test epoch 57, loss: 2.002876, test acc: 0.893436, test avg acc: 0.852837
Train epoch 58, loss: 1.993417, train acc: 0.912561, train avg acc: 0.865834
Test epoch 58, loss: 1.983799, test acc: 0.883712, test avg acc: 0.852465
Train epoch 59, loss: 1.992411, train acc: 0.910729, train avg acc: 0.859576
Test epoch 59, loss: 1.973315, test acc: 0.892220, test avg acc: 0.842517
Train epoch 60, loss: 1.996530, train acc: 0.911034, train avg acc: 0.861140
Test epoch 60, loss: 1.988863, test acc: 0.900324, test avg acc: 0.849041
Train epoch 61, loss: 1.988064, train acc: 0.914800, train avg acc: 0.866833
Test epoch 61, loss: 1.962469, test acc: 0.893436, test avg acc: 0.852384
Train epoch 62, loss: 1.988503, train acc: 0.914088, train avg acc: 0.869329
Test epoch 62, loss: 1.962856, test acc: 0.902755, test avg acc: 0.860953
Train epoch 63, loss: 1.995396, train acc: 0.910627, train avg acc: 0.861552
Test epoch 63, loss: 1.960654, test acc: 0.896677, test avg acc: 0.851326
Train epoch 64, loss: 1.982681, train acc: 0.916022, train avg acc: 0.873514
Test epoch 64, loss: 1.946836, test acc: 0.904781, test avg acc: 0.850919
Train epoch 65, loss: 1.982103, train acc: 0.916327, train avg acc: 0.867817
Test epoch 65, loss: 1.968791, test acc: 0.903566, test avg acc: 0.867971
Train epoch 66, loss: 1.981760, train acc: 0.922028, train avg acc: 0.877969
Test epoch 66, loss: 1.958032, test acc: 0.901540, test avg acc: 0.854919
Train epoch 67, loss: 1.988864, train acc: 0.913884, train avg acc: 0.866225
Test epoch 67, loss: 1.961580, test acc: 0.897488, test avg acc: 0.859401
Train epoch 68, loss: 1.979772, train acc: 0.920501, train avg acc: 0.875188
Test epoch 68, loss: 1.932554, test acc: 0.912480, test avg acc: 0.868076
Train epoch 69, loss: 1.979101, train acc: 0.920195, train avg acc: 0.877221
Test epoch 69, loss: 1.958267, test acc: 0.904781, test avg acc: 0.869948
Train epoch 70, loss: 1.987787, train acc: 0.913783, train avg acc: 0.866956
Test epoch 70, loss: 2.033321, test acc: 0.901540, test avg acc: 0.860756
Train epoch 71, loss: 1.977695, train acc: 0.918261, train avg acc: 0.874623
Test epoch 71, loss: 1.953751, test acc: 0.906402, test avg acc: 0.862837
Train epoch 72, loss: 1.980413, train acc: 0.918669, train avg acc: 0.871193
Test epoch 72, loss: 1.974334, test acc: 0.895057, test avg acc: 0.868430
Train epoch 73, loss: 1.975856, train acc: 0.922333, train avg acc: 0.881407
Test epoch 73, loss: 1.990852, test acc: 0.896677, test avg acc: 0.862953
Train epoch 74, loss: 1.981267, train acc: 0.920704, train avg acc: 0.874848
Test epoch 74, loss: 2.003960, test acc: 0.898703, test avg acc: 0.875012
Train epoch 75, loss: 1.970184, train acc: 0.924165, train avg acc: 0.883661
Test epoch 75, loss: 1.958953, test acc: 0.901945, test avg acc: 0.866302
Train epoch 76, loss: 1.980274, train acc: 0.917243, train avg acc: 0.872357
Test epoch 76, loss: 1.973188, test acc: 0.898703, test avg acc: 0.852599
Train epoch 77, loss: 1.980282, train acc: 0.919686, train avg acc: 0.875130
Test epoch 77, loss: 1.951204, test acc: 0.893436, test avg acc: 0.864430
Train epoch 78, loss: 1.972098, train acc: 0.924471, train avg acc: 0.881544
Test epoch 78, loss: 1.952737, test acc: 0.905997, test avg acc: 0.849628
Train epoch 79, loss: 1.976730, train acc: 0.921722, train avg acc: 0.876918
Test epoch 79, loss: 1.946310, test acc: 0.903971, test avg acc: 0.860680
Train epoch 80, loss: 1.977074, train acc: 0.922333, train avg acc: 0.880845
Test epoch 80, loss: 1.970266, test acc: 0.897488, test avg acc: 0.856378
Train epoch 81, loss: 1.984297, train acc: 0.918160, train avg acc: 0.875597
Test epoch 81, loss: 2.017303, test acc: 0.891005, test avg acc: 0.829215
Train epoch 82, loss: 1.978299, train acc: 0.921213, train avg acc: 0.880813
Test epoch 82, loss: 1.977500, test acc: 0.890194, test avg acc: 0.845936
