Namespace(augmix_cutmix_prob=0.5, augmix_prob=0.0, batch_size=32, beta=1.0, data_path='./data/modelnet40_normal_resampled', dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=500, eval=False, exp_name='augmix_cutmix_lams2_eps4e-1_dgcnn_1024', jitter=False, k=20, knn=False, lr=0.001, model='dgcnn', model_path='', modelnet10=False, momentum=0.9, no_cuda=False, normal=False, nsample=512, num_points=1024, rddrop=False, rdscale=False, rot=False, rsmix_prob=0.0, seed=1, shift=False, shuffle=False, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 1 devices
Train epoch 0, loss: 3.187441, train acc: 0.433428, train avg acc: 0.254186
Test epoch 0, loss: 2.877375, test acc: 0.556726, test avg acc: 0.419791
Train epoch 1, loss: 2.802612, train acc: 0.639760, train avg acc: 0.452460
Test epoch 1, loss: 2.634654, test acc: 0.756888, test avg acc: 0.599506
Train epoch 2, loss: 2.707650, train acc: 0.702972, train avg acc: 0.538369
Test epoch 2, loss: 2.574689, test acc: 0.764587, test avg acc: 0.637448
Train epoch 3, loss: 2.643253, train acc: 0.747964, train avg acc: 0.604740
Test epoch 3, loss: 2.520602, test acc: 0.816045, test avg acc: 0.677058
Train epoch 4, loss: 2.601842, train acc: 0.769748, train avg acc: 0.638470
Test epoch 4, loss: 2.489564, test acc: 0.835900, test avg acc: 0.737326
Train epoch 5, loss: 2.573908, train acc: 0.792447, train avg acc: 0.674837
Test epoch 5, loss: 2.476345, test acc: 0.836305, test avg acc: 0.732936
Train epoch 6, loss: 2.555551, train acc: 0.809446, train avg acc: 0.696918
Test epoch 6, loss: 2.452391, test acc: 0.849271, test avg acc: 0.771924
Train epoch 7, loss: 2.538701, train acc: 0.818811, train avg acc: 0.709188
Test epoch 7, loss: 2.444928, test acc: 0.864668, test avg acc: 0.802826
Train epoch 8, loss: 2.524643, train acc: 0.827362, train avg acc: 0.725364
Test epoch 8, loss: 2.448904, test acc: 0.847650, test avg acc: 0.769174
Train epoch 9, loss: 2.511055, train acc: 0.831739, train avg acc: 0.725149
Test epoch 9, loss: 2.416675, test acc: 0.872366, test avg acc: 0.795837
