Namespace(augmix_cutmix_prob=0.5, augmix_prob=0.0, batch_size=32, beta=1.0, data_path='./data/modelnet40_normal_resampled', dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=500, eval=False, exp_name='augmix_cutmix_lams3_dgcnn_1024', jitter=False, k=20, knn=False, lr=0.001, model='dgcnn', model_path='', modelnet10=False, momentum=0.9, no_cuda=False, normal=False, nsample=512, num_points=1024, rddrop=False, rdscale=False, rot=False, rsmix_prob=0.0, seed=1, shift=False, shuffle=False, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 1 devices
Train epoch 0, loss: 2.732128, train acc: 0.455110, train avg acc: 0.277419
Test epoch 0, loss: 2.239706, test acc: 0.582658, test avg acc: 0.434860
Train epoch 1, loss: 2.202245, train acc: 0.630497, train avg acc: 0.454265
Test epoch 1, loss: 1.981227, test acc: 0.730551, test avg acc: 0.585512
Train epoch 2, loss: 2.064675, train acc: 0.699613, train avg acc: 0.541147
Test epoch 2, loss: 1.931688, test acc: 0.750810, test avg acc: 0.654483
Train epoch 3, loss: 1.969796, train acc: 0.740941, train avg acc: 0.600594
Test epoch 3, loss: 1.796559, test acc: 0.812399, test avg acc: 0.705692
Train epoch 4, loss: 1.902169, train acc: 0.768221, train avg acc: 0.640664
Test epoch 4, loss: 1.762287, test acc: 0.825365, test avg acc: 0.725826
Train epoch 5, loss: 1.867139, train acc: 0.782777, train avg acc: 0.660235
Test epoch 5, loss: 1.705076, test acc: 0.835900, test avg acc: 0.727541
Train epoch 6, loss: 1.830656, train acc: 0.803542, train avg acc: 0.693029
Test epoch 6, loss: 1.732755, test acc: 0.817666, test avg acc: 0.717070
Train epoch 7, loss: 1.795615, train acc: 0.813009, train avg acc: 0.713089
Test epoch 7, loss: 1.650649, test acc: 0.864263, test avg acc: 0.805186
Train epoch 8, loss: 1.772175, train acc: 0.825122, train avg acc: 0.730085
Test epoch 8, loss: 1.687838, test acc: 0.848055, test avg acc: 0.787959
Train epoch 9, loss: 1.748297, train acc: 0.831433, train avg acc: 0.736853
Test epoch 9, loss: 1.639524, test acc: 0.878444, test avg acc: 0.816849
Train epoch 10, loss: 1.744151, train acc: 0.831535, train avg acc: 0.733353
Test epoch 10, loss: 1.714640, test acc: 0.836305, test avg acc: 0.762349
Train epoch 11, loss: 1.725176, train acc: 0.844157, train avg acc: 0.755379
Test epoch 11, loss: 1.670766, test acc: 0.858590, test avg acc: 0.794808
