Namespace(augmix_cutmix_prob=0.5, augmix_prob=0.0, batch_size=32, beta=1.0, data_path='./data/modelnet40_normal_resampled', dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=500, eval=False, exp_name='augmix_cutmix_ver_lam3_eps3e-1_dgcnn_1024', jitter=False, k=20, knn=False, lr=0.001, model='dgcnn', model_path='', modelnet10=False, momentum=0.9, no_cuda=False, normal=False, nsample=512, num_points=1024, rddrop=False, rdscale=False, rot=False, rsmix_prob=0.0, seed=1, shift=False, shuffle=False, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 1 devices
Namespace(augmix_cutmix_prob=0.5, augmix_prob=0.0, batch_size=32, beta=1.0, data_path='./data/modelnet40_normal_resampled', dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=500, eval=False, exp_name='augmix_cutmix_ver_lam3_eps3e-1_dgcnn_1024', jitter=False, k=20, knn=False, lr=0.001, model='dgcnn', model_path='', modelnet10=False, momentum=0.9, no_cuda=False, normal=False, nsample=512, num_points=1024, rddrop=False, rdscale=False, rot=False, rsmix_prob=0.0, seed=1, shift=False, shuffle=False, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 1 devices
Train epoch 0, loss: 2.929415, train acc: 0.473025, train avg acc: 0.291658
Test epoch 0, loss: 2.505548, test acc: 0.661264, test avg acc: 0.497953
Train epoch 1, loss: 2.498272, train acc: 0.652993, train avg acc: 0.470394
Test epoch 1, loss: 2.376971, test acc: 0.709076, test avg acc: 0.577773
Train epoch 2, loss: 2.379692, train acc: 0.716205, train avg acc: 0.560636
Test epoch 2, loss: 2.230134, test acc: 0.793760, test avg acc: 0.684349
Train epoch 3, loss: 2.300537, train acc: 0.760485, train avg acc: 0.617381
Test epoch 3, loss: 2.187575, test acc: 0.807942, test avg acc: 0.678424
Train epoch 4, loss: 2.251411, train acc: 0.787357, train avg acc: 0.662725
Test epoch 4, loss: 2.156175, test acc: 0.823339, test avg acc: 0.727140
Train epoch 5, loss: 2.213326, train acc: 0.808937, train avg acc: 0.696531
Test epoch 5, loss: 2.117306, test acc: 0.842382, test avg acc: 0.745209
Train epoch 6, loss: 2.186113, train acc: 0.823290, train avg acc: 0.722269
Test epoch 6, loss: 2.074447, test acc: 0.866694, test avg acc: 0.774262
Train epoch 7, loss: 2.175038, train acc: 0.825122, train avg acc: 0.726944
Test epoch 7, loss: 2.070291, test acc: 0.856564, test avg acc: 0.798291
Train epoch 8, loss: 2.146083, train acc: 0.839780, train avg acc: 0.749507
Test epoch 8, loss: 2.052823, test acc: 0.859806, test avg acc: 0.787192
