Namespace(augmix_cutmix_prob=0.7, augmix_prob=0.0, batch_size=32, beta=1.0, data_path='./data/modelnet40_normal_resampled', dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=500, eval=False, exp_name='augmix_cutmix_ver_lam3_eps3e-1_prob7e-1_dgcnn_1024', jitter=False, k=20, knn=False, lr=0.001, model='dgcnn', model_path='', modelnet10=False, momentum=0.9, no_cuda=False, normal=False, nsample=512, num_points=1024, rddrop=False, rdscale=False, rot=False, rsmix_prob=0.0, seed=1, shift=False, shuffle=False, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 1 devices
Train epoch 0, loss: 2.972394, train acc: 0.454906, train avg acc: 0.276281
Test epoch 0, loss: 2.576294, test acc: 0.617909, test avg acc: 0.471767
Train epoch 1, loss: 2.536020, train acc: 0.629682, train avg acc: 0.437820
Test epoch 1, loss: 2.348017, test acc: 0.711912, test avg acc: 0.576029
Train epoch 2, loss: 2.414368, train acc: 0.695949, train avg acc: 0.527417
Test epoch 2, loss: 2.241790, test acc: 0.787682, test avg acc: 0.679105
Train epoch 3, loss: 2.330899, train acc: 0.744401, train avg acc: 0.595756
Test epoch 3, loss: 2.203634, test acc: 0.792139, test avg acc: 0.679250
Train epoch 4, loss: 2.271534, train acc: 0.774328, train avg acc: 0.641814
Test epoch 4, loss: 2.139469, test acc: 0.835900, test avg acc: 0.739169
Train epoch 5, loss: 2.242649, train acc: 0.791124, train avg acc: 0.670597
Test epoch 5, loss: 2.128105, test acc: 0.832658, test avg acc: 0.722773
Train epoch 6, loss: 2.207436, train acc: 0.814332, train avg acc: 0.706196
Test epoch 6, loss: 2.082838, test acc: 0.864263, test avg acc: 0.794727
Train epoch 7, loss: 2.184036, train acc: 0.827972, train avg acc: 0.726141
Test epoch 7, loss: 2.070657, test acc: 0.879660, test avg acc: 0.824459
Train epoch 8, loss: 2.172644, train acc: 0.830212, train avg acc: 0.732124
Test epoch 8, loss: 2.107094, test acc: 0.845219, test avg acc: 0.763605
Train epoch 9, loss: 2.145245, train acc: 0.840187, train avg acc: 0.741634
Test epoch 9, loss: 2.053904, test acc: 0.877229, test avg acc: 0.806645
Train epoch 10, loss: 2.136440, train acc: 0.846702, train avg acc: 0.752167
Test epoch 10, loss: 2.066287, test acc: 0.861426, test avg acc: 0.791663
Train epoch 11, loss: 2.122186, train acc: 0.853115, train avg acc: 0.764064
Test epoch 11, loss: 2.027325, test acc: 0.879660, test avg acc: 0.800628
Train epoch 12, loss: 2.112776, train acc: 0.854438, train avg acc: 0.770262
Test epoch 12, loss: 2.055718, test acc: 0.861426, test avg acc: 0.781791
Train epoch 13, loss: 2.092766, train acc: 0.865228, train avg acc: 0.784690
Test epoch 13, loss: 2.016087, test acc: 0.887763, test avg acc: 0.832855
Train epoch 14, loss: 2.095323, train acc: 0.868485, train avg acc: 0.794578
Test epoch 14, loss: 2.044153, test acc: 0.867504, test avg acc: 0.804750
Train epoch 15, loss: 2.087661, train acc: 0.867060, train avg acc: 0.790108
Test epoch 15, loss: 2.007135, test acc: 0.885332, test avg acc: 0.819680
Train epoch 16, loss: 2.077350, train acc: 0.873066, train avg acc: 0.798034
Test epoch 16, loss: 2.006355, test acc: 0.891410, test avg acc: 0.822936
Train epoch 17, loss: 2.066866, train acc: 0.880395, train avg acc: 0.809920
Test epoch 17, loss: 2.015302, test acc: 0.877229, test avg acc: 0.816866
Train epoch 18, loss: 2.062137, train acc: 0.883245, train avg acc: 0.816116
Test epoch 18, loss: 2.006043, test acc: 0.877634, test avg acc: 0.821186
Train epoch 19, loss: 2.058793, train acc: 0.885485, train avg acc: 0.819680
Test epoch 19, loss: 2.007320, test acc: 0.891815, test avg acc: 0.857471
Train epoch 20, loss: 2.051459, train acc: 0.886401, train avg acc: 0.823253
Test epoch 20, loss: 1.988218, test acc: 0.898298, test avg acc: 0.833169
Train epoch 21, loss: 2.047673, train acc: 0.889454, train avg acc: 0.822052
Test epoch 21, loss: 2.008884, test acc: 0.883712, test avg acc: 0.815884
Train epoch 22, loss: 2.049556, train acc: 0.887419, train avg acc: 0.822155
Test epoch 22, loss: 2.001877, test acc: 0.893841, test avg acc: 0.833017
Train epoch 23, loss: 2.038635, train acc: 0.894646, train avg acc: 0.832635
Test epoch 23, loss: 1.998400, test acc: 0.890600, test avg acc: 0.841471
Train epoch 24, loss: 2.033333, train acc: 0.896478, train avg acc: 0.835880
Test epoch 24, loss: 1.981348, test acc: 0.892626, test avg acc: 0.836343
Train epoch 25, loss: 2.027748, train acc: 0.900550, train avg acc: 0.845595
