Namespace(augmix_prob=1.0, batch_size=16, beta=1.0, data_path='./data/modelnet40_normal_resampled', dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=500, eval=False, exp_name='rsmix_dgcnn_1024', jitter=False, k=20, knn=False, lr=0.001, model='dgcnn', model_path='', modelnet10=False, momentum=0.9, no_cuda=False, normal=False, nsample=512, num_points=1024, rddrop=False, rdscale=False, rot=False, rsmix_prob=0.0, seed=1, shift=False, shuffle=False, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 1 devices
Train epoch 0, loss: 3.774939, train acc: 0.111687, train avg acc: 0.042431
Test epoch 0, loss: 3.387927, test acc: 0.102107, test avg acc: 0.063000
Train epoch 1, loss: 3.289210, train acc: 0.257215, train avg acc: 0.102398
Test epoch 1, loss: 3.052081, test acc: 0.229741, test avg acc: 0.141750
Train epoch 2, loss: 3.080118, train acc: 0.377642, train avg acc: 0.166074
Test epoch 2, loss: 2.700978, test acc: 0.399109, test avg acc: 0.251180
Train epoch 3, loss: 2.923667, train acc: 0.458638, train avg acc: 0.230246
Test epoch 3, loss: 2.548522, test acc: 0.529984, test avg acc: 0.365605
Train epoch 4, loss: 2.826881, train acc: 0.506504, train avg acc: 0.273136
Test epoch 4, loss: 2.421666, test acc: 0.512156, test avg acc: 0.336238
Train epoch 5, loss: 2.754590, train acc: 0.547154, train avg acc: 0.311891
Test epoch 5, loss: 2.346938, test acc: 0.547407, test avg acc: 0.380919
Train epoch 6, loss: 2.702555, train acc: 0.571646, train avg acc: 0.340504
Test epoch 6, loss: 2.294298, test acc: 0.578606, test avg acc: 0.430128
Train epoch 7, loss: 2.666500, train acc: 0.595732, train avg acc: 0.370292
Test epoch 7, loss: 2.261241, test acc: 0.638979, test avg acc: 0.496890
Train epoch 8, loss: 2.616035, train acc: 0.628557, train avg acc: 0.412446
Test epoch 8, loss: 2.181041, test acc: 0.649514, test avg acc: 0.480674
Train epoch 9, loss: 2.585704, train acc: 0.632724, train avg acc: 0.416049
Test epoch 9, loss: 2.105742, test acc: 0.704214, test avg acc: 0.574471
Train epoch 10, loss: 2.565722, train acc: 0.651524, train avg acc: 0.440862
Test epoch 10, loss: 2.170701, test acc: 0.623177, test avg acc: 0.493977
Train epoch 11, loss: 2.551193, train acc: 0.657012, train avg acc: 0.447185
Test epoch 11, loss: 2.116673, test acc: 0.693274, test avg acc: 0.544674
Train epoch 12, loss: 2.532126, train acc: 0.667175, train avg acc: 0.455400
Test epoch 12, loss: 2.129886, test acc: 0.642626, test avg acc: 0.511558
Train epoch 13, loss: 2.522880, train acc: 0.679370, train avg acc: 0.472756
Test epoch 13, loss: 2.062172, test acc: 0.706645, test avg acc: 0.565215
Train epoch 14, loss: 2.512580, train acc: 0.686890, train avg acc: 0.484054
Test epoch 14, loss: 2.105037, test acc: 0.667342, test avg acc: 0.524826
Train epoch 15, loss: 2.499062, train acc: 0.681606, train avg acc: 0.480668
Test epoch 15, loss: 2.061019, test acc: 0.704214, test avg acc: 0.560448
Train epoch 16, loss: 2.481107, train acc: 0.692683, train avg acc: 0.489288
Test epoch 16, loss: 1.990791, test acc: 0.743922, test avg acc: 0.574355
Train epoch 17, loss: 2.477568, train acc: 0.694512, train avg acc: 0.497003
Test epoch 17, loss: 2.052261, test acc: 0.692058, test avg acc: 0.535419
Train epoch 18, loss: 2.479390, train acc: 0.697967, train avg acc: 0.497303
Test epoch 18, loss: 1.993032, test acc: 0.745543, test avg acc: 0.593558
Train epoch 19, loss: 2.462323, train acc: 0.704573, train avg acc: 0.510020
Test epoch 19, loss: 2.016271, test acc: 0.715559, test avg acc: 0.564901
Train epoch 20, loss: 2.470488, train acc: 0.702947, train avg acc: 0.507967
Test epoch 20, loss: 2.024785, test acc: 0.685170, test avg acc: 0.543273
Train epoch 21, loss: 2.456254, train acc: 0.707724, train avg acc: 0.513132
Test epoch 21, loss: 1.967227, test acc: 0.735008, test avg acc: 0.582279
Train epoch 22, loss: 2.459049, train acc: 0.709756, train avg acc: 0.520281
Test epoch 22, loss: 1.990130, test acc: 0.750000, test avg acc: 0.600523
Train epoch 23, loss: 2.454377, train acc: 0.711687, train avg acc: 0.521773
Test epoch 23, loss: 1.961196, test acc: 0.738655, test avg acc: 0.574180
Train epoch 24, loss: 2.446777, train acc: 0.709654, train avg acc: 0.517280
Test epoch 24, loss: 1.974596, test acc: 0.725284, test avg acc: 0.577593
Train epoch 25, loss: 2.435896, train acc: 0.719106, train avg acc: 0.528380
Test epoch 25, loss: 2.036309, test acc: 0.678687, test avg acc: 0.537221
Train epoch 26, loss: 2.434646, train acc: 0.721443, train avg acc: 0.530335
Test epoch 26, loss: 1.971079, test acc: 0.746353, test avg acc: 0.590302
Train epoch 27, loss: 2.429497, train acc: 0.722561, train avg acc: 0.534332
Test epoch 27, loss: 1.929406, test acc: 0.767018, test avg acc: 0.619017
Train epoch 28, loss: 2.424738, train acc: 0.730793, train avg acc: 0.547689
Test epoch 28, loss: 1.940724, test acc: 0.772285, test avg acc: 0.636802
Train epoch 29, loss: 2.426488, train acc: 0.730183, train avg acc: 0.543426
Test epoch 29, loss: 1.966459, test acc: 0.739060, test avg acc: 0.582616
Train epoch 30, loss: 2.411971, train acc: 0.733232, train avg acc: 0.553339
Test epoch 30, loss: 1.937005, test acc: 0.774716, test avg acc: 0.623907
Train epoch 31, loss: 2.423343, train acc: 0.732419, train avg acc: 0.550946
Test epoch 31, loss: 1.930592, test acc: 0.775527, test avg acc: 0.621273
Train epoch 32, loss: 2.417802, train acc: 0.735671, train avg acc: 0.551757
Test epoch 32, loss: 1.941835, test acc: 0.763371, test avg acc: 0.604465
Train epoch 33, loss: 2.409739, train acc: 0.731606, train avg acc: 0.547956
Test epoch 33, loss: 1.974076, test acc: 0.727310, test avg acc: 0.578738
Train epoch 34, loss: 2.405343, train acc: 0.738211, train avg acc: 0.559126
Test epoch 34, loss: 1.930395, test acc: 0.745948, test avg acc: 0.602552
Train epoch 35, loss: 2.394938, train acc: 0.739634, train avg acc: 0.559698
Test epoch 35, loss: 1.917676, test acc: 0.774311, test avg acc: 0.636855
Train epoch 36, loss: 2.396396, train acc: 0.740955, train avg acc: 0.560678
Test epoch 36, loss: 1.940375, test acc: 0.748784, test avg acc: 0.616157
Train epoch 37, loss: 2.391367, train acc: 0.742175, train avg acc: 0.566518
Test epoch 37, loss: 1.965016, test acc: 0.735413, test avg acc: 0.603279
Train epoch 38, loss: 2.399096, train acc: 0.742988, train avg acc: 0.563633
Test epoch 38, loss: 1.916418, test acc: 0.767423, test avg acc: 0.633302
Train epoch 39, loss: 2.388755, train acc: 0.741972, train avg acc: 0.564257
Test epoch 39, loss: 1.917781, test acc: 0.770665, test avg acc: 0.598267
Train epoch 40, loss: 2.389789, train acc: 0.747967, train avg acc: 0.569144
Test epoch 40, loss: 1.969493, test acc: 0.685170, test avg acc: 0.568773
Train epoch 41, loss: 2.390667, train acc: 0.742683, train avg acc: 0.565742
Test epoch 41, loss: 1.876940, test acc: 0.769449, test avg acc: 0.609709
Train epoch 42, loss: 2.386581, train acc: 0.748984, train avg acc: 0.576239
Test epoch 42, loss: 1.914929, test acc: 0.756888, test avg acc: 0.590593
Train epoch 43, loss: 2.373578, train acc: 0.748171, train avg acc: 0.573731
Test epoch 43, loss: 1.900901, test acc: 0.767423, test avg acc: 0.611849
Train epoch 44, loss: 2.382032, train acc: 0.751016, train avg acc: 0.573229
Test epoch 44, loss: 1.925063, test acc: 0.770259, test avg acc: 0.616297
Train epoch 45, loss: 2.386584, train acc: 0.748476, train avg acc: 0.571387
Test epoch 45, loss: 1.845779, test acc: 0.801459, test avg acc: 0.633634
Train epoch 46, loss: 2.382966, train acc: 0.751321, train avg acc: 0.579810
Test epoch 46, loss: 1.848407, test acc: 0.797812, test avg acc: 0.642529
Train epoch 47, loss: 2.374185, train acc: 0.751931, train avg acc: 0.575230
Test epoch 47, loss: 1.869302, test acc: 0.754457, test avg acc: 0.616872
Train epoch 48, loss: 2.365712, train acc: 0.759248, train avg acc: 0.587503
Test epoch 48, loss: 1.884536, test acc: 0.790924, test avg acc: 0.649890
Train epoch 49, loss: 2.361975, train acc: 0.754776, train avg acc: 0.582588
Test epoch 49, loss: 1.895584, test acc: 0.788898, test avg acc: 0.662169
Train epoch 50, loss: 2.366091, train acc: 0.756809, train avg acc: 0.585586
Test epoch 50, loss: 1.916099, test acc: 0.735818, test avg acc: 0.604581
Train epoch 51, loss: 2.358270, train acc: 0.762907, train avg acc: 0.595324
Test epoch 51, loss: 1.861519, test acc: 0.798622, test avg acc: 0.644093
Train epoch 52, loss: 2.356046, train acc: 0.756504, train avg acc: 0.583598
Test epoch 52, loss: 1.894119, test acc: 0.782820, test avg acc: 0.643872
Train epoch 53, loss: 2.364420, train acc: 0.757215, train avg acc: 0.585623
Test epoch 53, loss: 1.872335, test acc: 0.782010, test avg acc: 0.641378
Train epoch 54, loss: 2.345138, train acc: 0.763821, train avg acc: 0.595462
Test epoch 54, loss: 1.869728, test acc: 0.804295, test avg acc: 0.654244
Train epoch 55, loss: 2.361879, train acc: 0.764431, train avg acc: 0.599060
Test epoch 55, loss: 1.874219, test acc: 0.768233, test avg acc: 0.620570
Train epoch 56, loss: 2.342363, train acc: 0.769106, train avg acc: 0.603411
Test epoch 56, loss: 1.841390, test acc: 0.787682, test avg acc: 0.613308
Train epoch 57, loss: 2.349302, train acc: 0.764024, train avg acc: 0.592162
Test epoch 57, loss: 1.868950, test acc: 0.809968, test avg acc: 0.676395
Train epoch 58, loss: 2.352233, train acc: 0.759350, train avg acc: 0.590797
Test epoch 58, loss: 1.839881, test acc: 0.821313, test avg acc: 0.667831
Train epoch 59, loss: 2.354070, train acc: 0.766159, train avg acc: 0.594061
Test epoch 59, loss: 1.840382, test acc: 0.797407, test avg acc: 0.648471
Train epoch 60, loss: 2.346876, train acc: 0.764634, train avg acc: 0.598398
Test epoch 60, loss: 1.844239, test acc: 0.811588, test avg acc: 0.651337
Train epoch 61, loss: 2.350954, train acc: 0.765447, train avg acc: 0.597275
Test epoch 61, loss: 1.881583, test acc: 0.779579, test avg acc: 0.637692
Train epoch 62, loss: 2.350962, train acc: 0.765244, train avg acc: 0.597313
Test epoch 62, loss: 1.835885, test acc: 0.808347, test avg acc: 0.652674
Train epoch 63, loss: 2.343645, train acc: 0.764837, train avg acc: 0.599971
Test epoch 63, loss: 1.843758, test acc: 0.818071, test avg acc: 0.667645
Train epoch 64, loss: 2.334389, train acc: 0.765244, train avg acc: 0.599338
Test epoch 64, loss: 1.885740, test acc: 0.779579, test avg acc: 0.638721
Train epoch 65, loss: 2.346456, train acc: 0.769411, train avg acc: 0.604201
Test epoch 65, loss: 1.909468, test acc: 0.744327, test avg acc: 0.605471
Train epoch 66, loss: 2.340113, train acc: 0.767886, train avg acc: 0.600480
