Namespace(augmix_prob=0.0, batch_size=16, beta=1.0, data_path='./data/modelnet40_normal_resampled', dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=500, eval=False, exp_name='no_aug_dgcnn_1024', jitter=False, k=20, knn=False, lr=0.001, model='dgcnn', model_path='', modelnet10=False, momentum=0.9, no_cuda=False, normal=False, nsample=512, num_points=1024, rddrop=False, rdscale=False, rot=False, rsmix_prob=0.0, seed=1, shift=False, shuffle=False, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 1 devices
Train epoch 0, loss: 2.743826, train acc: 0.454675, train avg acc: 0.270246
Test epoch 0, loss: 2.302826, test acc: 0.587115, test avg acc: 0.466669
Train epoch 1, loss: 2.235246, train acc: 0.631911, train avg acc: 0.454450
Test epoch 1, loss: 2.109671, test acc: 0.651540, test avg acc: 0.525064
Train epoch 2, loss: 2.078429, train acc: 0.700508, train avg acc: 0.543211
Test epoch 2, loss: 1.862715, test acc: 0.770665, test avg acc: 0.649395
Train epoch 3, loss: 1.986073, train acc: 0.739024, train avg acc: 0.596751
Test epoch 3, loss: 1.915734, test acc: 0.765802, test avg acc: 0.652285
Train epoch 4, loss: 1.931682, train acc: 0.760671, train avg acc: 0.633098
Test epoch 4, loss: 1.764473, test acc: 0.812804, test avg acc: 0.688895
Train epoch 5, loss: 1.888045, train acc: 0.783333, train avg acc: 0.663636
Test epoch 5, loss: 1.803249, test acc: 0.801459, test avg acc: 0.720634
Train epoch 6, loss: 1.846617, train acc: 0.803557, train avg acc: 0.694526
Test epoch 6, loss: 1.753420, test acc: 0.821313, test avg acc: 0.752715
Train epoch 7, loss: 1.834044, train acc: 0.808435, train avg acc: 0.698420
Test epoch 7, loss: 1.718630, test acc: 0.854133, test avg acc: 0.781221
Train epoch 8, loss: 1.801285, train acc: 0.818801, train avg acc: 0.723856
Test epoch 8, loss: 1.729618, test acc: 0.827796, test avg acc: 0.731523
