Namespace(augmix_cutmix_prob=0.0, augmix_prob=0.0, batch_size=32, beta=1.0, data_path='./data/modelnet40_normal_resampled', dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=500, eval=False, exp_name='no_aug_dgcnn_1024_batch32', jitter=False, k=20, knn=False, lr=0.001, model='dgcnn', model_path='', modelnet10=False, momentum=0.9, no_cuda=False, normal=False, nsample=512, num_points=1024, rddrop=False, rdscale=False, rot=False, rsmix_prob=0.0, seed=1, shift=False, shuffle=False, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 1 devices
Train epoch 0, loss: 2.562411, train acc: 0.524532, train avg acc: 0.348013
Test epoch 0, loss: 2.095885, test acc: 0.702188, test avg acc: 0.572750
Train epoch 1, loss: 2.038491, train acc: 0.711828, train avg acc: 0.558386
Test epoch 1, loss: 2.036129, test acc: 0.709887, test avg acc: 0.588541
Train epoch 2, loss: 1.916053, train acc: 0.763436, train avg acc: 0.635005
Test epoch 2, loss: 1.760536, test acc: 0.821313, test avg acc: 0.722942
Train epoch 3, loss: 1.849239, train acc: 0.791327, train avg acc: 0.675088
Test epoch 3, loss: 1.753792, test acc: 0.831442, test avg acc: 0.733105
Train epoch 4, loss: 1.797399, train acc: 0.809752, train avg acc: 0.700501
Test epoch 4, loss: 1.722944, test acc: 0.835089, test avg acc: 0.738029
Train epoch 5, loss: 1.757630, train acc: 0.832960, train avg acc: 0.736927
Test epoch 5, loss: 1.684037, test acc: 0.853323, test avg acc: 0.774366
Train epoch 6, loss: 1.722987, train acc: 0.843241, train avg acc: 0.750890
Test epoch 6, loss: 1.702736, test acc: 0.844814, test avg acc: 0.768913
Train epoch 7, loss: 1.704850, train acc: 0.850061, train avg acc: 0.765790
Test epoch 7, loss: 1.710727, test acc: 0.832658, test avg acc: 0.788163
Train epoch 8, loss: 1.686421, train acc: 0.859935, train avg acc: 0.780132
Test epoch 8, loss: 1.618576, test acc: 0.870340, test avg acc: 0.789151
Train epoch 9, loss: 1.669518, train acc: 0.864821, train avg acc: 0.787018
Test epoch 9, loss: 1.632852, test acc: 0.871151, test avg acc: 0.825738
Train epoch 10, loss: 1.651595, train acc: 0.875000, train avg acc: 0.802564
Test epoch 10, loss: 1.666616, test acc: 0.863047, test avg acc: 0.793355
Train epoch 11, loss: 1.639373, train acc: 0.879886, train avg acc: 0.811492
Test epoch 11, loss: 1.637911, test acc: 0.863452, test avg acc: 0.800773
Train epoch 12, loss: 1.626500, train acc: 0.884467, train avg acc: 0.817094
Test epoch 12, loss: 1.658223, test acc: 0.856564, test avg acc: 0.794145
Train epoch 13, loss: 1.615062, train acc: 0.891083, train avg acc: 0.830810
Test epoch 13, loss: 1.606828, test acc: 0.878444, test avg acc: 0.820047
Train epoch 14, loss: 1.611102, train acc: 0.892101, train avg acc: 0.831000
Test epoch 14, loss: 1.597986, test acc: 0.869125, test avg acc: 0.800180
Train epoch 15, loss: 1.599514, train acc: 0.895460, train avg acc: 0.838337
Test epoch 15, loss: 1.577278, test acc: 0.883712, test avg acc: 0.810343
Train epoch 16, loss: 1.586417, train acc: 0.903400, train avg acc: 0.847196
Test epoch 16, loss: 1.589892, test acc: 0.875608, test avg acc: 0.816012
Train epoch 17, loss: 1.585004, train acc: 0.902280, train avg acc: 0.847012
Test epoch 17, loss: 1.621979, test acc: 0.869935, test avg acc: 0.814291
Train epoch 18, loss: 1.577180, train acc: 0.905334, train avg acc: 0.851955
Test epoch 18, loss: 1.632308, test acc: 0.854943, test avg acc: 0.802698
Train epoch 19, loss: 1.564223, train acc: 0.910016, train avg acc: 0.860818
Test epoch 19, loss: 1.662554, test acc: 0.863452, test avg acc: 0.817448
Train epoch 20, loss: 1.562943, train acc: 0.914800, train avg acc: 0.866720
Test epoch 20, loss: 1.575533, test acc: 0.882496, test avg acc: 0.828337
Train epoch 21, loss: 1.553877, train acc: 0.915106, train avg acc: 0.867724
Test epoch 21, loss: 1.578008, test acc: 0.892220, test avg acc: 0.819831
Train epoch 22, loss: 1.555382, train acc: 0.915004, train avg acc: 0.866263
Test epoch 22, loss: 1.627715, test acc: 0.870340, test avg acc: 0.832122
Train epoch 23, loss: 1.546711, train acc: 0.922028, train avg acc: 0.879625
Test epoch 23, loss: 1.615540, test acc: 0.875203, test avg acc: 0.805192
Train epoch 24, loss: 1.540505, train acc: 0.920806, train avg acc: 0.874301
Test epoch 24, loss: 1.594685, test acc: 0.883306, test avg acc: 0.839198
Train epoch 25, loss: 1.536105, train acc: 0.922842, train avg acc: 0.878617
Test epoch 25, loss: 1.600248, test acc: 0.887763, test avg acc: 0.810512
Train epoch 26, loss: 1.535984, train acc: 0.925590, train avg acc: 0.884565
Test epoch 26, loss: 1.682136, test acc: 0.871151, test avg acc: 0.793052
Train epoch 27, loss: 1.531299, train acc: 0.923962, train avg acc: 0.881999
Test epoch 27, loss: 1.542309, test acc: 0.901135, test avg acc: 0.820756
Train epoch 28, loss: 1.527848, train acc: 0.925081, train avg acc: 0.882499
Test epoch 28, loss: 1.572262, test acc: 0.898298, test avg acc: 0.828628
Train epoch 29, loss: 1.521914, train acc: 0.926914, train avg acc: 0.884569
Test epoch 29, loss: 1.617222, test acc: 0.874797, test avg acc: 0.815273
Train epoch 30, loss: 1.516468, train acc: 0.929153, train avg acc: 0.888125
Test epoch 30, loss: 1.697320, test acc: 0.840762, test avg acc: 0.800756
Train epoch 31, loss: 1.515253, train acc: 0.930884, train avg acc: 0.890641
Test epoch 31, loss: 1.577105, test acc: 0.892626, test avg acc: 0.854703
Train epoch 32, loss: 1.507136, train acc: 0.935362, train avg acc: 0.900212
Test epoch 32, loss: 1.608428, test acc: 0.889384, test avg acc: 0.853924
Train epoch 33, loss: 1.506244, train acc: 0.933734, train avg acc: 0.897576
Test epoch 33, loss: 1.580707, test acc: 0.885737, test avg acc: 0.814128
Train epoch 34, loss: 1.502592, train acc: 0.936380, train avg acc: 0.901842
Test epoch 34, loss: 1.711147, test acc: 0.816856, test avg acc: 0.778988
Train epoch 35, loss: 1.511459, train acc: 0.934141, train avg acc: 0.895477
Test epoch 35, loss: 1.574815, test acc: 0.884117, test avg acc: 0.845448
Train epoch 36, loss: 1.502826, train acc: 0.934853, train avg acc: 0.899692
Test epoch 36, loss: 1.590713, test acc: 0.890600, test avg acc: 0.831122
