Namespace(augmix_prob=0.0, batch_size=32, beta=1.0, data_path='./data/modelnet40_normal_resampled', dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=500, eval=False, exp_name='rsmix_dgcnn_1024', jitter=False, k=20, knn=False, lr=0.001, model='dgcnn', model_path='', modelnet10=False, momentum=0.9, no_cuda=False, normal=False, nsample=512, num_points=1024, rddrop=False, rdscale=False, rot=False, rsmix_prob=0.5, seed=1, shift=False, shuffle=False, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 1 devices
Train epoch 0, loss: 2.891811, train acc: 0.467020, train avg acc: 0.292557
Test epoch 0, loss: 2.241866, test acc: 0.632901, test avg acc: 0.504517
Train epoch 1, loss: 2.416245, train acc: 0.645358, train avg acc: 0.473824
Test epoch 1, loss: 2.091106, test acc: 0.672609, test avg acc: 0.531436
Train epoch 2, loss: 2.342213, train acc: 0.678339, train avg acc: 0.520217
Test epoch 2, loss: 1.865501, test acc: 0.775527, test avg acc: 0.660122
Train epoch 3, loss: 2.231571, train acc: 0.726384, train avg acc: 0.588370
Test epoch 3, loss: 1.770514, test acc: 0.818882, test avg acc: 0.719913
Train epoch 4, loss: 2.230400, train acc: 0.737276, train avg acc: 0.606155
Test epoch 4, loss: 1.841424, test acc: 0.793355, test avg acc: 0.680500
Train epoch 5, loss: 2.169978, train acc: 0.752036, train avg acc: 0.630757
Test epoch 5, loss: 1.759289, test acc: 0.819287, test avg acc: 0.727547
Train epoch 6, loss: 2.166794, train acc: 0.762928, train avg acc: 0.644677
Test epoch 6, loss: 1.709284, test acc: 0.837925, test avg acc: 0.765895
Train epoch 7, loss: 2.125625, train acc: 0.778909, train avg acc: 0.671326
Test epoch 7, loss: 1.698924, test acc: 0.844408, test avg acc: 0.762337
Train epoch 8, loss: 2.164284, train acc: 0.776975, train avg acc: 0.667834
Test epoch 8, loss: 1.766708, test acc: 0.818071, test avg acc: 0.727448
Train epoch 9, loss: 2.066285, train acc: 0.798046, train avg acc: 0.694945
Test epoch 9, loss: 1.682354, test acc: 0.858590, test avg acc: 0.787698
Train epoch 10, loss: 2.097310, train acc: 0.791735, train avg acc: 0.686153
Test epoch 10, loss: 1.688301, test acc: 0.841572, test avg acc: 0.776000
Train epoch 11, loss: 2.090313, train acc: 0.796926, train avg acc: 0.699839
Test epoch 11, loss: 1.676680, test acc: 0.867099, test avg acc: 0.788366
Train epoch 12, loss: 2.054611, train acc: 0.810566, train avg acc: 0.716816
Test epoch 12, loss: 1.714879, test acc: 0.837115, test avg acc: 0.772831
Train epoch 13, loss: 1.995629, train acc: 0.823799, train avg acc: 0.736054
Test epoch 13, loss: 1.594078, test acc: 0.882091, test avg acc: 0.821250
Train epoch 14, loss: 2.071788, train acc: 0.806494, train avg acc: 0.715052
Test epoch 14, loss: 1.628389, test acc: 0.859400, test avg acc: 0.800977
Train epoch 15, loss: 2.039931, train acc: 0.819524, train avg acc: 0.734600
Test epoch 15, loss: 1.620954, test acc: 0.869125, test avg acc: 0.805273
Train epoch 16, loss: 2.039004, train acc: 0.819320, train avg acc: 0.731274
Test epoch 16, loss: 1.610265, test acc: 0.871961, test avg acc: 0.816488
Train epoch 17, loss: 1.994124, train acc: 0.832655, train avg acc: 0.746640
Test epoch 17, loss: 1.629725, test acc: 0.872366, test avg acc: 0.816523
